日期,计划id,计划名称,推广类型,省份,城市,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总收藏数,宝贝收藏数,店铺收藏数,总购物车数,直接购物车数,间接购物车数,加购成本,宝贝收藏成本,宝贝收藏转化率,加购率,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,总成交金额,直接成交金额,间接成交金额,总成交笔数,直接成交笔数,间接成交笔数,投入产出比,点击转化率,直接点击转化率
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,菏泽,33,3,1.23,9.0909,0.41,37.27,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,东营,18,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,德州,15,2,0.93,13.3333,0.47,62.00,1,1,0,0,0,0,,0.93,50.0000,0.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,滨州,12,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,青海,西宁,3,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,锡林郭勒,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,兴安,2,1,0.48,50.0000,0.48,240.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,巴彦淖尔,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,乌兰察布,4,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,鄂尔多斯,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,乌海,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,通辽,15,2,0.88,13.3333,0.44,58.67,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,呼和浩特,15,2,0.88,13.3333,0.44,58.67,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,赤峰,15,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,包头,12,1,0.48,8.3333,0.48,40.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,阿拉善,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,内蒙,呼伦贝尔,7,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,营口,11,1,0.47,9.0909,0.47,42.73,0,0,0,1,1,0,0.47,,0.0000,100.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,铁岭,18,2,0.94,11.1111,0.47,52.22,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,沈阳,67,3,1.32,4.4776,0.44,19.70,0,0,0,1,1,0,1.32,,0.0000,33.3333,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,盘锦,5,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,辽阳,11,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,锦州,15,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,辽宁,葫芦岛,13,1,0.43,7.6923,0.43,33.08,,,,,,,,,,,,,,,,,,,,,,,,,
